instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1,signal_2
2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,0.5944086021505377,0.0
4701441,18365,PERSISTENT,PERSISTENT SYSTEMS,0,,0,0.05,1,EQ,NSE,NSE,0.5944086021505375,0.3684210526315789
779521,3045,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.5935483870967743,0.42105263157894735
387073,1512,INDHOTEL,THE INDIAN HOTELS CO.,0,,0,0.05,1,EQ,NSE,NSE,0.5935483870967742,0.0
897537,3506,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,NSE,NSE,0.5935483870967742,0.0
3484417,13611,IRCTC,INDIAN RAIL TOUR CORP,0,,0,0.05,1,EQ,NSE,NSE,0.5926881720430107,0.47368421052631576
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,0.5926881720430107,0.42105263157894735
315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.5918279569892472,0.3157894736842105
871681,3405,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE,0.590967741935484,0.47368421052631576
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,0.590967741935484,0.42105263157894735
345089,1348,HEROMOTOCO,HERO MOTOCORP,0,,0,0.05,1,EQ,NSE,NSE,0.5909677419354838,0.3684210526315789
189185,739,COROMANDEL,COROMANDEL INTERNTL.,0,,0,0.05,1,EQ,NSE,NSE,0.5909677419354837,0.3157894736842105
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.5901075268817205,0.3684210526315789
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,0.5901075268817204,0.47368421052631576
4632577,18096,JUBLFOOD,JUBILANT FOODWORKS,0,,0,0.05,1,EQ,NSE,NSE,0.5892473118279571,0.47368421052631576
3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE,0.5883870967741937,0.42105263157894735
3465729,13538,TECHM,TECH MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,0.5875268817204302,0.0
2977281,11630,NTPC,NTPC,0,,0,0.05,1,EQ,NSE,NSE,0.5875268817204301,0.3157894736842105
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,0.5875268817204301,0.3684210526315789
177665,694,CIPLA,CIPLA,0,,0,0.05,1,EQ,NSE,NSE,0.5875268817204301,0.3684210526315789
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,0.5875268817204301,0.42105263157894735
4561409,17818,LTIM,LTIMINDTREE,0,,0,0.05,1,EQ,NSE,NSE,0.5866666666666667,0.3684210526315789
3771393,14732,DLF,DLF,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129035,0.3157894736842105
300545,1174,GNFC,GUJ NAR VAL FER & CHEM L,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129033,0.21052631578947367
3756033,14672,NAVINFLUOR,NAVIN FLUORINE INT.,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129033,0.3684210526315789
523009,2043,RAMCOCEM,THE RAMCO CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129033,0.0
2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129032,0.0
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,0.5840860215053765,0.3684210526315789
6054401,23650,MUTHOOTFIN,MUTHOOT FINANCE,0,,0,0.05,1,EQ,NSE,NSE,0.5840860215053765,0.3684210526315789
2745857,10726,INDIAMART,INDIAMART INTERMESH,0,,0,0.05,1,EQ,NSE,NSE,0.583225806451613,0.2631578947368421
112129,438,BHEL,BHEL,0,,0,0.05,1,EQ,NSE,NSE,0.5832258064516129,0.3684210526315789
5633,22,ACC,ACC,0,,0,0.05,1,EQ,NSE,NSE,0.5832258064516128,0.21052631578947367
2067201,8075,DALBHARAT,DALMIA BHARAT,0,,0,0.05,1,EQ,NSE,NSE,0.5832258064516128,0.3684210526315789
511233,1997,LICHSGFIN,LIC HOUSING FINANCE,0,,0,0.05,1,EQ,NSE,NSE,0.5823655913978495,0.3684210526315789
3397121,13270,JKCEMENT,JK CEMENT,0,,0,0.05,1,EQ,NSE,NSE,0.5823655913978495,0.2631578947368421
1215745,4749,CONCOR,CONTAINER CORP OF IND,0,,0,0.05,1,EQ,NSE,NSE,0.5823655913978495,0.3157894736842105
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.5823655913978494,0.21052631578947367
149249,583,CANFINHOME,CAN FIN HOMES,0,,0,0.05,1,EQ,NSE,NSE,0.5815053763440862,0.21052631578947367
408065,1594,INFY,INFOSYS,0,,0,0.05,1,EQ,NSE,NSE,0.5815053763440861,0.3157894736842105
878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,0,,0,0.05,1,EQ,NSE,NSE,0.5806451612903226,0.42105263157894735
1790465,6994,BSOFT,BIRLASOFT,0,,0,0.05,1,EQ,NSE,NSE,0.5806451612903226,0.42105263157894735
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.579784946236559,0.3157894736842105
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0,0.05,1,EQ,NSE,NSE,0.5789247311827957,0.2631578947368421
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,0.5789247311827956,0.3684210526315789
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,0.5780645161290323,0.3157894736842105
582913,2277,MRF,MRF,0,,0,0.05,1,EQ,NSE,NSE,0.5780645161290321,0.2631578947368421
2713345,10599,GUJGASLTD,GUJARAT GAS,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752689,0.3684210526315789
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752689,0.3157894736842105
119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752689,0.3157894736842105
2995969,11703,ALKEM,ALKEM LABORATORIES.,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752688,0.2631578947368421
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752687,0.3684210526315789
4592385,17939,HINDCOPPER,HINDUSTAN COPPER,0,,0,0.05,1,EQ,NSE,NSE,0.5763440860215056,0.3684210526315789
2763265,10794,CANBK,CANARA BANK,0,,0,0.05,1,EQ,NSE,NSE,0.5754838709677419,0.3157894736842105
1152769,4503,MPHASIS,MPHASIS,0,,0,0.05,1,EQ,NSE,NSE,0.5746236559139786,0.3157894736842105
6401,25,ADANIENT,ADANI ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE,0.5746236559139785,0.2631578947368421
