instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1,signal_2,signal_1_7d,signal_2_7d,signal_3_7d,signal_3_31d
300545,1174,GNFC,GUJ NAR VAL FER & CHEM L,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129033,0.21052631578947367,0.4114285714285714,0.3333333333333333,1.0195320200652913,-0.0723654674550859
325121,1270,AMBUJACEM,AMBUJA CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,0.5961290322580646,0.42105263157894735,0.4723809523809524,1.0,0.7243071499127642,-0.08040859369408757
2622209,10243,SYNGENE,SYNGENE INTERNATIONAL,0,,0,0.05,1,EQ,NSE,NSE,0.5660215053763441,0.21052631578947367,0.3923809523809524,0.3333333333333333,0.3225908504029308,-0.08101172973288703
2713345,10599,GUJGASLTD,GUJARAT GAS,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752689,0.3684210526315789,0.4266666666666667,0.6666666666666666,0.03108555347362599,-0.08339384009100716
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE,0.6176344086021506,0.0,0.49523809523809526,1.0,1.1702572127343962,-0.09478557548147709
225537,881,DRREDDY,DR. REDDY S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.6090322580645162,0.42105263157894735,0.41904761904761906,0.3333333333333333,0.2963719682809523,-0.09653936091948602
2905857,11351,PETRONET,PETRONET LNG,0,,0,0.05,1,EQ,NSE,NSE,0.5556989247311829,0.10526315789473684,0.40761904761904766,0.3333333333333333,0.40431526145810526,-0.09869115489086588
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,0.6047311827956989,0.42105263157894735,0.4038095238095238,0.0,0.006720044385767946,-0.10026983219665996
3484417,13611,IRCTC,INDIAN RAIL TOUR CORP,0,,0,0.05,1,EQ,NSE,NSE,0.5926881720430107,0.47368421052631576,0.44571428571428573,0.6666666666666666,0.9357174401556628,-0.10078766216233773
359937,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,0,,0,0.05,1,EQ,NSE,NSE,0.5694623655913978,0.21052631578947367,0.4304761904761905,0.6666666666666666,0.3421376036624313,-0.10317115019265027
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,,0,0.05,1,EQ,NSE,NSE,0.5436559139784944,0.2631578947368421,0.4342857142857143,0.6666666666666666,0.9764069264069241,-0.1038111180588908
119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,0.5772043010752689,0.3157894736842105,0.36952380952380953,0.0,-0.0002677664750903982,-0.10918532783577609
779521,3045,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.5935483870967743,0.42105263157894735,0.4342857142857143,0.6666666666666666,1.0792398823639193,-0.11137091985955695
