instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1_1d,signal_2_1d,signal_3_1d,signal_1_7d,signal_2_7d,signal_3_7d,signal_1_31d,signal_2_31d,signal_3_31d
232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,0.508050089,0.512128514,0.25,-0.317432143,0.588760202,0.2,-0.200533304
2513665,9819,HAVELLS,HAVELLS INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,0.48603352,0.547148594,0.25,0.8936007,0.6388185,0.45,0.041108918
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,0.444444444,0.561652324,0.5,1.426274894,0.607684933,0.35,-0.047402587
2889473,11287,UPL,UPL,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,0.439393939,0.561285141,0.25,0.759494934,0.59899987,0.2,-0.119016862
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.698795181,0,0.428571429,0.522685026,0.25,1.029901738,0.591143931,0.2,0.08191518
3691009,14418,ASTRAL,ASTRAL,0,,0,0.05,1,EQ,NSE,NSE,0.963855422,0,0.190348525,0.571979346,0.5,0.127608426,0.633242648,0.45,-0.176915922
3431425,13404,SUNTV,SUN TV NETWORK,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,0.166666667,0.544073437,0.5,0.628685745,0.597694002,0.45,-0.005503008
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,0.16374269,0.573815261,0.75,1.124449902,0.6388185,0.5,0.333802339
617473,2412,PEL,PIRAMAL ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,0.160714286,0.542604705,0.25,-0.007338276,0.593061277,0.2,-0.61466452
7707649,30108,ABFRL,ADITYA BIRLA FASHION & RT,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,0.16,0.510154905,0.25,0.272715471,0.551325301,0.15,-0.850955937
7982337,31181,MCX,MULTI COMMODITY EXCHANGE,0,,0,0.05,1,EQ,NSE,NSE,1.108433735,1,0.156118143,0.592633391,0.5,0.629774271,0.635325819,0.5,-0.249285058
2452737,9581,METROPOLIS,METROPOLIS HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,0.095505618,0.558209983,0.5,-0.004190645,0.636154942,0.5,0.186839272
871681,3405,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,0.087866109,0.463339071,0,-0.907000536,0.618173339,0.45,0.349883629
415745,1624,IOC,INDIAN OIL CORP,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,0.066666667,0.510522088,0.25,0.57565026,0.573773805,0.2,0.006651416
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,-0.033216783,0.626047045,0.75,1.165511958,0.647171913,0.4,-0.095857085
2983425,11654,LALPATHLAB,DR. LAL PATH LABS.,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-0.040076336,0.490005737,0,0.026803171,0.579463661,0.15,-0.677631315
558337,2181,BOSCHLTD,BOSCH,0,,0,0.05,1,EQ,NSE,NSE,1.084337349,1,-0.076796715,0.615857717,0.75,0.297443541,0.668096904,0.7,0.013216599
2748929,10738,OFSS,ORACLE FIN SERV SOFT.,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,-0.078212291,0.564727481,0.5,0.082642752,0.666873947,0.65,0.385606807
3397121,13270,JKCEMENT,JK CEMENT,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-0.125188537,0.603557085,0.5,0.778521246,0.611125793,0.25,-0.712372188
681985,2664,PIDILITIND,PIDILITE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,-0.146529563,0.553666093,0.5,-0.187264218,0.631688042,0.5,-0.024012715
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,-0.264233577,0.560183592,0.25,0.162086306,0.647783392,0.5,0.11492893
1215745,4749,CONCOR,CONTAINER CORP OF IND,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-0.32,0.561652324,0.25,0.787145103,0.611125793,0.3,-0.207505462
4632577,18096,JUBLFOOD,JUBILANT FOODWORKS,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-0.367647059,0.513964429,0.25,0.255509982,0.614121,0.45,0.09662934
98049,383,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-0.4,0.529569707,0.25,1.088279883,0.58151574,0.1,0.235355374
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-0.411764706,0.53535284,0.5,1.128845644,0.606907631,0.25,0.315284361
4701441,18365,PERSISTENT,PERSISTENT SYSTEMS,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,-0.512605042,0.553666093,0.25,-0.716161572,0.623946107,0.35,-0.419380076
418049,1633,IPCALAB,IPCA LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.963855422,0,-0.517786561,0.530074584,0,0.258520809,0.595393186,0.15,-0.020520592
2585345,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-0.517793594,0.542971888,0.25,-0.21849766,0.627552792,0.5,-0.211476712
1086465,4244,HDFCAMC,HDFC AMC,0,,0,0.05,1,EQ,NSE,NSE,1.012048193,1,-0.534818942,0.559816408,0.75,-0.806006078,0.641678974,0.65,-0.087945016
2622209,10243,SYNGENE,SYNGENE INTERNATIONAL,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-0.565217391,0.502535858,0.25,0.241845509,0.590895194,0.2,-0.099244549
523009,2043,RAMCOCEM,THE RAMCO CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-0.567975831,0.532644865,0.25,0.173698996,0.611457443,0.35,-0.246598749
424961,1660,ITC,ITC,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-0.58,0.516305221,0,-0.341360544,0.587982899,0.15,-0.277481123
3060993,11957,IDFC,IDFC,0,,0,0.05,1,EQ,NSE,NSE,0.698795181,0,-0.6,0.47697074,0,0.94906015,0.517165436,0.05,-0.319643101
4774913,18652,ICICIPRULI,ICICI PRU LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-0.6375,0.513597246,0.25,0.429114656,0.634683249,0.45,0.121873458
3689729,14413,PAGEIND,PAGE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-0.664299242,0.542971888,0.25,-0.217677514,0.629273222,0.5,-0.245716895
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.722891566,0,-0.714285714,0.514698795,0.25,0.220484785,0.600523384,0.35,-0.155844265
878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-0.775280899,0.531543316,0.25,-0.232693494,0.608628061,0.4,-0.591714845
